code,country_en,country_cn,year,JR,entry_exit,capvol,mafdi,cwtfp,tfp_gr,lp_gr,bp_disp,scc,hitech,PMR,EPL,INSOLV,FDI,EFW,gdp_pc,PMR_inv,EPL_inv,capvol_inv,bp_disp_inv,n_JR,n_entry_exit,n_mafdi,n_capvol_inv,n_cwtfp,n_tfp_gr,n_lp_gr,n_bp_disp_inv,n_scc,n_hitech,n_PMR_inv,n_EPL_inv,n_INSOLV,n_FDI,n_EFW,SI1_JR,SI2_ENT,SI3_CAPVOL,SI4_MAFDI,SI5_TFP,SI6_TFPGR,SI7_LPGR,SI8_BPDISP,SI9_SCC,SI10_HITECH,SI11_PMR,SI12_EPL,SI13_INSOLV,SI14_FDI,SI15_EFW,P1_labor,P2_capital,P3_quality,P4_upgrade,P5_regul,P6_fin,D1_process,D2_outcome,D3_institution,RE_geom,RE_arith,RE_hs_ratio,RE_BoD_2023
IND,India,印度,2023,18.4,8.84,7.06,2.06,0.3567,2.64,5.26,0.9182,1.118,0.0823,2.34,2.98,0.46,0.552,6.64,2311.0,0.8600000000000003,0.52,4.94,0.08179999999999998,0.36351203501094087,0.36541167192429025,0.19653689567430022,0.4228464961067854,0.10824897847997825,0.8673377308707124,0.7876938369781312,0.1976181139122316,0.7671085776330077,0.2179565217391304,0.32854871794871804,0.08825683060109296,0.3665095541401274,0.48643202416918435,0.5146764705882354,0.36351203501094087,0.36541167192429025,0.4228464961067854,0.19653689567430022,0.10824897847997825,0.8673377308707124,0.7876938369781312,0.1976181139122316,0.7671085776330077,0.2179565217391304,0.32854871794871804,0.08825683060109296,0.3665095541401274,0.48643202416918435,0.5146764705882354,0.364270701833142,0.28827927031193673,0.3373874421630935,0.463726645345915,0.22887059519966907,0.49753887632437854,0.33172630490380256,0.37116657113751866,0.3003467637198143,0.33678163600503125,0.3380885490420925,0.07244166781733254,0.5090063194044818
ITA,Italy,意大利,2023,18.08,9.15,3.44,2.78,0.8154,-0.23,0.36,0.4357,0.049,0.1205,1.38,2.85,0.588,0.664,7.72,36551.0,1.8200000000000003,0.6499999999999999,8.56,0.5643,0.3495356673960612,0.3898107255520505,0.2879567430025444,0.8247107897664072,0.7317611005175703,0.489467018469657,0.3015904572564613,0.8399217020141391,0.1879218241042345,0.380461210571185,0.8198717948717951,0.15915300546448088,0.5699235668789808,0.6552779456193354,0.8316882352941178,0.3495356673960612,0.3898107255520505,0.8247107897664072,0.2879567430025444,0.7317611005175703,0.489467018469657,0.3015904572564613,0.8399217020141391,0.1879218241042345,0.380461210571185,0.8198717948717951,0.15915300546448088,0.5699235668789808,0.6552779456193354,0.8316882352941178,0.3651206644007063,0.4873202570591446,0.5450593745945821,0.2491784533240439,0.44956015935898963,0.7208411221765707,0.4098147955214159,0.4309866473486202,0.5303418810270422,0.4517816566248945,0.4544416619039855,0.12018081108487064,0.6341360740145129
JPN,Japan,日本,2023,12.4,6.68,2.95,1.48,0.6626,0.01,0.62,0.4118,0.094,0.2354,1.4,2.09,0.732,0.892,7.85,44272.0,1.8000000000000003,1.4100000000000001,9.05,0.5882000000000001,0.1014551422319475,0.19540536277602522,0.12289312977099234,0.8791067853170191,0.5240596567692727,0.521065963060686,0.3273836978131213,0.8717373616113113,0.2123029315960912,0.8692514919011082,0.8096358974358976,0.5736229508196722,0.7987643312101911,0.999,0.8698470588235295,0.1014551422319475,0.19540536277602522,0.8791067853170191,0.12289312977099234,0.5240596567692727,0.521065963060686,0.3273836978131213,0.8717373616113113,0.2123029315960912,0.8692514919011082,0.8096358974358976,0.5736229508196722,0.7987643312101911,0.999,0.8698470588235295,0.13186788170011626,0.3286885824766725,0.51508486516605,0.3731056044013872,0.7271591226406748,0.945184198819211,0.19001910371155947,0.4675894288348833,0.797057963940624,0.4188244481027149,0.48315889182960836,0.0738613511780371,0.7057369238131048
KOR,South Korea,韩国,2023,22.6,11.86,3.66,4.63,0.6552,1.47,2.83,0.5296,0.916,0.2631,1.42,2.39,0.712,0.89,7.57,35022.0,1.7800000000000002,1.1099999999999999,8.34,0.47040000000000004,0.5469518599562364,0.6031056782334385,0.5228549618320609,0.8002880978865407,0.5140008172160175,0.7132928759894459,0.5466262425447317,0.7149221021742032,0.6576644951140065,0.987088661551577,0.7994000000000001,0.410016393442623,0.7669808917197452,0.9959848942598187,0.7876588235294121,0.5469518599562364,0.6031056782334385,0.8002880978865407,0.5228549618320609,0.5140008172160175,0.7132928759894459,0.5466262425447317,0.7149221021742032,0.6576644951140065,0.987088661551577,0.7994000000000001,0.410016393442623,0.7669808917197452,0.9959848942598187,0.7876588235294121,0.5687570972621988,0.6468652122931947,0.6051743029174679,0.7736510213917538,0.6462214764297567,0.906748629802184,0.5987997574995104,0.6514481663478608,0.7275591710654261,0.6565940259730662,0.6584869451086253,0.306565928381301,0.9383041426818897
MEX,Mexico,墨西哥,2023,20.2,9.14,6.58,2.81,0.5873,0.36,0.43,0.7051,0.347,0.0968,1.77,2.62,0.57,0.534,7.03,10941.0,1.4300000000000002,0.8799999999999999,5.42,0.29490000000000005,0.44212910284463885,0.38902365930599375,0.291765903307888,0.47613236929922137,0.421704167801689,0.5671477572559367,0.3085347912524851,0.4812966519941311,0.3493789359391965,0.27964023870417726,0.6202717948717948,0.2845846994535519,0.5413184713375796,0.45929607250755294,0.6291529411764709,0.44212910284463885,0.38902365930599375,0.47613236929922137,0.291765903307888,0.421704167801689,0.5671477572559367,0.3085347912524851,0.4812966519941311,0.3493789359391965,0.27964023870417726,0.6202717948717948,0.2845846994535519,0.5413184713375796,0.45929607250755294,0.6291529411764709,0.4200682598104201,0.3727186483431064,0.43125587718620867,0.31960818758969156,0.47133764911539305,0.520904526718618,0.400446377746794,0.39418481270482464,0.4881252025264764,0.4222820637506796,0.424245399163911,0.10440671454688348,0.5869749253314607
RUS,Russia,俄罗斯,2023,16.8,7.97,6.22,1.57,0.5281,0.24,1.12,0.6463,0.424,0.1109,2.34,1.9,0.57,0.542,5.32,12647.0,0.8600000000000003,1.6,5.78,0.3537,0.2936301969365427,0.29693690851735016,0.13432061068702286,0.5160967741935485,0.34123345137564703,0.5513482849604222,0.376986083499006,0.5595711617980527,0.3910977198697068,0.3396223358908781,0.32854871794871804,0.67724043715847,0.5413184713375796,0.471356495468278,0.1272176470588237,0.2936301969365427,0.29693690851735016,0.5160967741935485,0.13432061068702286,0.34123345137564703,0.5513482849604222,0.376986083499006,0.5595711617980527,0.3910977198697068,0.3396223358908781,0.32854871794871804,0.67724043715847,0.5413184713375796,0.471356495468278,0.1272176470588237,0.294948439595757,0.2632915378117572,0.4354360494627421,0.3696320902986878,0.47413130299745354,0.2791442209956375,0.2818528445297072,0.4145510001670917,0.3938892546853443,0.36362200200163597,0.3685430298313522,0.07274864385322267,0.5583924517777885
SAU,Saudi Arabia,沙特,2023,15.2,8.63,4.76,2.66,0.7894,0.34,1.2,0.6518,0.22,0.0523,2.06,2.88,0.5,0.452,6.56,25454.0,1.1400000000000001,0.6200000000000001,7.24,0.34819999999999995,0.2237483588621444,0.34888328075709785,0.27272010178117045,0.6781746384872082,0.6964192318169438,0.564514511873351,0.3849224652087476,0.552249566493264,0.28057003257328994,0.09033503836317133,0.4718512820512821,0.1427923497267761,0.4300764331210191,0.3356767371601208,0.49119411764705884,0.2237483588621444,0.34888328075709785,0.6781746384872082,0.27272010178117045,0.6964192318169438,0.564514511873351,0.3849224652087476,0.552249566493264,0.28057003257328994,0.09033503836317133,0.4718512820512821,0.1427923497267761,0.4300764331210191,0.3356767371601208,0.49119411764705884,0.2672563163746175,0.43006029395148754,0.5439392470768221,0.17830653596801435,0.32062488846396797,0.390889504772269,0.3232723243789315,0.3892561258324326,0.34365059792150876,0.354649924141889,0.3557793270231051,0.07597173182100452,0.5335383059228067
TUR,Türkiye,土耳其,2023,20.2,10.37,7.12,2.64,0.6242,1.18,3.02,0.6747,0.717,0.0911,2.07,3.0,0.532,0.582,5.73,9940.0,1.1300000000000003,0.5,4.88,0.32530000000000003,0.44212910284463885,0.4858328075709779,0.2701806615776081,0.41618576195773077,0.47186243530373195,0.6751108179419525,0.5654751491053679,0.5217651060424171,0.5498458197611291,0.2553921568627451,0.46673333333333344,0.07734972677595636,0.48092993630573255,0.5316586102719032,0.24756470588235321,0.44212910284463885,0.4858328075709779,0.41618576195773077,0.2701806615776081,0.47186243530373195,0.6751108179419525,0.5654751491053679,0.5217651060424171,0.5498458197611291,0.2553921568627451,0.46673333333333344,0.07734972677595636,0.48092993630573255,0.5316586102719032,0.24756470588235321,0.45911787039283697,0.33532871112524887,0.5509177631378231,0.4046015842376438,0.2746563890517432,0.3916112890698407,0.4048953733771524,0.502191105529758,0.31096580138262364,0.40772208820811473,0.41563479463983605,0.12038528014803007,0.6583520923997308
USA,United States,美国,2023,27.8,14.26,2.68,6.06,1.012,0.85,1.09,0.34,0.355,0.1921,1.03,1.31,0.858,0.882,8.06,71779.0,2.17,2.19,9.32,0.6599999999999999,0.7740678336980307,0.7920015772870663,0.7044249363867683,0.9090800889877644,0.999,0.6316622691292876,0.37400994035785295,0.9673174603174602,0.3537133550488599,0.6850511508951406,0.999,0.999,0.999,0.9839244712990937,0.931488235294118,0.7740678336980307,0.7920015772870663,0.9090800889877644,0.7044249363867683,0.999,0.6316622691292876,0.37400994035785295,0.9673174603174602,0.3537133550488599,0.6850511508951406,0.999,0.999,0.999,0.9839244712990937,0.931488235294118,0.7811920790188848,0.8002366424100333,0.692349642234219,0.46076562842121666,0.999,0.9626047644518413,0.788754903349143,0.6127338212810295,0.9861077448904824,0.7623750480051322,0.7775523229842994,0.4766747191801609,1.0
ZAF,South Africa,南非,2023,17.8,9.58,7.07,4.72,0.501,-0.42,0.52,0.8256,0.23,0.0909,2.2,2.3,0.558,0.65,6.57,6601.0,1.0,1.2000000000000002,4.93,0.1744,0.3373063457330416,0.42365457413249213,0.5342824427480913,0.42173637374860956,0.3043963497684555,0.46445118733509233,0.3174632206759444,0.32088715486194486,0.2859880564603692,0.254541346973572,0.40019999999999994,0.45909836065573784,0.5222484076433123,0.6341722054380665,0.49412941176470615,0.3373063457330416,0.42365457413249213,0.42173637374860956,0.5342824427480913,0.3043963497684555,0.46445118733509233,0.3174632206759444,0.32088715486194486,0.2859880564603692,0.254541346973572,0.40019999999999994,0.45909836065573784,0.5222484076433123,0.6341722054380665,0.49412941176470615,0.36950427460665963,0.47468551690790933,0.34551004045869044,0.272968210712963,0.45169542690423375,0.573932217280954,0.4084454595399667,0.32192602903242906,0.49119157868686814,0.39248036299267447,0.3986615230810221,0.08714772731158983,0.5184343034577708
