code,country_en,country_cn,year,JR,entry_exit,capvol,mafdi,cwtfp,tfp_gr,lp_gr,bp_disp,scc,hitech,PMR,EPL,INSOLV,FDI,EFW,gdp_pc
ARG,Argentina,阿根廷,2017,20.1,9.72,9.6,0.85,0.6525,-0.98,-0.95,0.801,0.078,0.1011,2.11,3.04,0.41,0.43,5.19,9416.0
ARG,Argentina,阿根廷,2018,20.05,10.24,9.16,0.53,0.6492,-0.87,-0.83,0.787,0.033,0.1055,2.13,3.04,0.405,0.425,5.14,9664.0
ARG,Argentina,阿根廷,2019,20.0,10.29,9.61,1.99,0.646,-0.72,-0.85,0.7726,-0.073,0.0949,2.15,3.05,0.4,0.42,5.09,9912.0
ARG,Argentina,阿根廷,2020,24.95,12.26,10.54,1.91,0.6299,-3.94,-2.67,0.777,0.04,0.1114,2.17,3.06,0.395,0.415,5.04,9804.0
ARG,Argentina,阿根廷,2021,17.9,8.58,10.19,1.36,0.6395,-1.15,0.18,0.7654,-0.039,0.1051,2.19,3.06,0.39,0.41,4.99,10408.0
ARG,Argentina,阿根廷,2022,19.85,10.29,9.76,1.09,0.6363,-1.0,-0.76,0.7617,0.149,0.1005,2.21,3.06,0.385,0.405,4.94,10655.0
ARG,Argentina,阿根廷,2023,19.8,10.04,9.97,1.11,0.6331,-1.11,-0.58,0.7253,0.064,0.0823,2.23,3.07,0.38,0.4,4.89,10903.0
AUS,Australia,澳大利亚,2000,26.0,13.86,3.72,5.06,0.8185,0.53,1.16,0.3994,0.078,0.1102,1.43,1.66,0.752,0.733,8.12,28751.0
AUS,Australia,澳大利亚,2001,26.0,12.61,4.1,4.99,0.8211,0.47,1.1,0.4222,0.127,0.1151,1.42,1.66,0.754,0.736,8.12,30120.0
AUS,Australia,澳大利亚,2002,26.0,12.56,3.11,4.79,0.8237,0.87,1.24,0.4424,0.022,0.1232,1.42,1.66,0.756,0.739,8.12,31489.0
AUS,Australia,澳大利亚,2003,26.0,13.25,3.15,3.54,0.8263,0.62,0.87,0.4331,0.109,0.1242,1.41,1.67,0.758,0.742,8.11,32858.0
AUS,Australia,澳大利亚,2004,26.0,13.02,4.62,3.48,0.8289,0.58,1.14,0.4431,0.186,0.1163,1.4,1.68,0.76,0.745,8.1,34227.0
AUS,Australia,澳大利亚,2005,26.0,12.73,4.1,5.44,0.8315,0.88,1.35,0.4261,0.028,0.128,1.39,1.68,0.762,0.748,8.1,35596.0
AUS,Australia,澳大利亚,2006,26.0,13.34,2.92,5.11,0.8341,0.46,1.01,0.4335,0.177,0.1282,1.38,1.68,0.764,0.751,8.09,36965.0
AUS,Australia,澳大利亚,2007,26.0,13.37,3.67,3.08,0.8368,0.51,1.31,0.4006,-0.032,0.1329,1.38,1.69,0.766,0.754,8.09,38334.0
AUS,Australia,澳大利亚,2008,26.0,13.17,3.45,4.73,0.8394,0.7,1.33,0.3991,0.191,0.1276,1.37,1.7,0.768,0.757,8.08,39703.0
AUS,Australia,澳大利亚,2009,26.0,13.34,3.39,4.56,0.842,0.2,1.43,0.3997,0.134,0.1283,1.36,1.7,0.77,0.76,8.08,41072.0
AUS,Australia,澳大利亚,2010,26.0,13.71,3.79,4.37,0.8446,0.3,1.53,0.4251,0.106,0.1283,1.35,1.7,0.772,0.763,8.07,42441.0
AUS,Australia,澳大利亚,2011,26.0,13.87,3.26,4.65,0.8472,0.29,0.98,0.3962,0.154,0.1257,1.34,1.71,0.774,0.766,8.07,43810.0
AUS,Australia,澳大利亚,2012,26.0,12.28,3.56,5.14,0.8498,0.52,0.92,0.4269,0.172,0.1259,1.34,1.72,0.776,0.769,8.06,45179.0
AUS,Australia,澳大利亚,2013,26.0,14.02,4.64,5.18,0.8524,0.41,1.35,0.3994,0.431,0.1357,1.33,1.72,0.778,0.772,8.06,46549.0
AUS,Australia,澳大利亚,2014,26.0,12.97,2.73,4.22,0.855,0.5,1.48,0.4058,0.236,0.1381,1.32,1.72,0.78,0.775,8.06,47918.0
AUS,Australia,澳大利亚,2015,26.0,12.73,3.07,4.1,0.8576,0.46,1.39,0.3736,0.224,0.1296,1.31,1.73,0.782,0.778,8.05,49287.0
AUS,Australia,澳大利亚,2016,26.0,12.89,4.12,4.55,0.8602,0.26,1.14,0.431,0.331,0.1491,1.3,1.74,0.784,0.781,8.04,50656.0
AUS,Australia,澳大利亚,2017,26.0,12.19,4.11,3.74,0.8628,0.54,1.63,0.3761,0.02,0.1362,1.3,1.74,0.786,0.784,8.04,52025.0
AUS,Australia,澳大利亚,2018,26.0,12.53,3.61,4.86,0.8654,0.46,1.1,0.4223,0.138,0.1432,1.29,1.74,0.788,0.787,8.04,53394.0
AUS,Australia,澳大利亚,2019,26.0,12.96,4.79,4.5,0.868,0.25,1.34,0.3907,0.326,0.1327,1.28,1.75,0.79,0.79,8.03,54763.0
AUS,Australia,澳大利亚,2020,31.0,14.97,3.33,4.26,0.8532,-2.51,-0.66,0.4085,0.446,0.1347,1.27,1.76,0.792,0.793,8.02,54167.0
AUS,Australia,澳大利亚,2021,24.0,12.16,3.02,4.22,0.8732,0.56,2.01,0.3884,0.271,0.1376,1.26,1.76,0.794,0.796,8.02,57501.0
AUS,Australia,澳大利亚,2022,26.0,11.81,3.59,5.12,0.8758,0.44,1.21,0.4065,0.222,0.1523,1.26,1.76,0.796,0.799,8.01,58870.0
AUS,Australia,澳大利亚,2023,26.0,13.56,3.49,5.02,0.8784,0.57,1.36,0.3819,0.255,0.147,1.25,1.77,0.798,0.802,8.01,60239.0
BRA,Brazil,巴西,2000,21.05,10.34,5.59,4.0,0.4789,0.18,0.61,0.7856,0.067,0.0681,2.14,2.85,0.355,0.555,6.76,4576.0
BRA,Brazil,巴西,2001,21.1,10.87,6.37,4.37,0.4785,0.27,0.41,0.8213,0.22,0.0811,2.14,2.85,0.36,0.56,6.75,4794.0
BRA,Brazil,巴西,2002,21.15,10.03,5.62,4.97,0.478,0.26,0.62,0.8021,0.437,0.0763,2.13,2.85,0.365,0.565,6.74,5012.0
BRA,Brazil,巴西,2003,21.2,11.04,5.56,4.36,0.4775,0.07,0.46,0.8027,0.18,0.054,2.13,2.85,0.37,0.57,6.73,5230.0
BRA,Brazil,巴西,2004,21.25,11.09,5.64,3.01,0.477,0.14,0.58,0.8159,0.318,0.0755,2.12,2.85,0.375,0.575,6.72,5448.0
BRA,Brazil,巴西,2005,21.3,10.71,6.02,2.93,0.4766,0.35,0.41,0.7627,0.172,0.0772,2.12,2.85,0.38,0.58,6.71,5666.0
BRA,Brazil,巴西,2006,21.35,11.26,6.28,3.37,0.4761,-0.26,0.23,0.8285,0.317,0.0671,2.11,2.85,0.385,0.585,6.7,5884.0
BRA,Brazil,巴西,2007,21.4,10.68,6.28,3.92,0.4756,0.5,0.64,0.796,0.316,0.0703,2.11,2.85,0.39,0.59,6.69,6102.0
BRA,Brazil,巴西,2008,21.45,11.8,6.24,3.59,0.4752,0.38,0.67,0.8092,0.359,0.0753,2.1,2.85,0.395,0.595,6.68,6320.0
BRA,Brazil,巴西,2009,21.5,10.84,6.22,4.06,0.4747,-0.0,0.64,0.7698,0.234,0.0668,2.1,2.85,0.4,0.6,6.67,6538.0
BRA,Brazil,巴西,2010,21.55,11.21,6.29,3.37,0.4742,0.19,0.37,0.7524,0.525,0.0775,2.09,2.85,0.405,0.605,6.66,6756.0
BRA,Brazil,巴西,2011,21.6,10.78,6.07,3.63,0.4738,0.16,0.48,0.7858,0.365,0.0713,2.09,2.85,0.41,0.61,6.65,6974.0
BRA,Brazil,巴西,2012,21.65,10.98,6.58,3.64,0.4733,-0.08,0.57,0.7924,0.295,0.0568,2.08,2.85,0.415,0.615,6.64,7192.0
BRA,Brazil,巴西,2013,21.7,10.89,6.27,3.74,0.4728,0.14,0.71,0.7792,0.295,0.0749,2.08,2.85,0.42,0.62,6.63,7409.0
BRA,Brazil,巴西,2014,21.75,10.79,6.1,3.52,0.4723,0.15,0.46,0.7887,0.252,0.0559,2.07,2.85,0.425,0.625,6.62,7627.0
BRA,Brazil,巴西,2015,21.8,11.14,6.27,2.89,0.4719,0.42,0.36,0.7695,0.332,0.0822,2.07,2.85,0.43,0.63,6.61,7845.0
BRA,Brazil,巴西,2016,21.85,10.27,5.64,3.96,0.4714,0.08,0.37,0.7605,0.308,0.0738,2.06,2.85,0.435,0.635,6.6,8063.0
BRA,Brazil,巴西,2017,21.9,10.24,6.24,2.58,0.4709,0.14,0.63,0.7626,0.383,0.0795,2.06,2.85,0.44,0.64,6.59,8281.0
BRA,Brazil,巴西,2018,21.95,10.73,6.44,3.19,0.4705,0.18,0.97,0.752,0.475,0.0733,2.05,2.85,0.445,0.645,6.58,8499.0
BRA,Brazil,巴西,2019,22.0,11.05,6.17,3.67,0.47,0.2,0.43,0.7507,0.292,0.0898,2.05,2.85,0.45,0.65,6.57,8717.0
BRA,Brazil,巴西,2020,27.05,12.6,6.04,3.1,0.4601,-2.66,-1.49,0.7327,0.5,0.0778,2.04,2.85,0.455,0.655,6.56,8622.0
BRA,Brazil,巴西,2021,20.1,10.54,6.24,3.58,0.4691,0.21,1.68,0.7157,0.292,0.0768,2.04,2.85,0.46,0.66,6.55,9153.0
BRA,Brazil,巴西,2022,22.15,11.38,5.86,3.99,0.4686,0.26,0.79,0.722,0.438,0.0695,2.03,2.85,0.465,0.665,6.54,9371.0
BRA,Brazil,巴西,2023,22.2,11.42,6.47,3.3,0.4681,0.39,0.06,0.7604,0.411,0.0884,2.03,2.85,0.47,0.67,6.53,9589.0
CAN,Canada,加拿大,2000,24.57,12.39,3.05,5.53,0.8581,0.62,0.7,0.4378,-0.049,0.1314,1.4,1.42,0.782,0.752,8.07,24271.0
CAN,Canada,加拿大,2001,24.54,12.4,3.08,5.38,0.8599,0.5,1.04,0.3826,-0.057,0.1438,1.39,1.42,0.784,0.754,8.06,25427.0
CAN,Canada,加拿大,2002,24.51,11.62,2.5,5.97,0.8617,0.5,1.35,0.4236,-0.189,0.1225,1.38,1.42,0.786,0.756,8.06,26583.0
CAN,Canada,加拿大,2003,24.48,12.27,3.32,5.87,0.8635,0.56,0.89,0.4135,0.028,0.138,1.38,1.43,0.788,0.758,8.05,27739.0
CAN,Canada,加拿大,2004,24.45,12.85,3.24,5.78,0.8652,0.57,0.78,0.3934,-0.08,0.1451,1.38,1.44,0.79,0.76,8.04,28894.0
CAN,Canada,加拿大,2005,24.42,12.88,3.66,6.25,0.867,0.86,0.81,0.4386,-0.011,0.1358,1.37,1.44,0.792,0.762,8.03,30050.0
CAN,Canada,加拿大,2006,24.39,12.67,2.59,5.2,0.8688,0.31,0.97,0.4255,-0.033,0.15,1.36,1.44,0.794,0.764,8.02,31206.0
CAN,Canada,加拿大,2007,24.36,12.36,3.15,5.5,0.8706,0.36,0.96,0.3823,0.201,0.1291,1.36,1.45,0.796,0.766,8.02,32362.0
CAN,Canada,加拿大,2008,24.33,11.85,3.09,5.62,0.8724,0.35,0.8,0.3755,0.002,0.1484,1.36,1.46,0.798,0.768,8.01,33517.0
CAN,Canada,加拿大,2009,24.3,11.78,2.72,5.78,0.8742,0.52,0.85,0.4143,-0.049,0.1306,1.35,1.46,0.8,0.77,8.0,34673.0
CAN,Canada,加拿大,2010,24.27,11.92,3.06,5.62,0.8759,0.42,1.21,0.387,0.115,0.1366,1.34,1.46,0.802,0.772,7.99,35829.0
CAN,Canada,加拿大,2011,24.24,12.1,3.44,5.37,0.8777,0.51,0.87,0.4174,0.241,0.1357,1.34,1.47,0.804,0.774,7.98,36985.0
CAN,Canada,加拿大,2012,24.21,12.01,2.75,4.86,0.8795,0.42,0.91,0.3589,0.125,0.1469,1.34,1.48,0.806,0.776,7.98,38141.0
CAN,Canada,加拿大,2013,24.18,12.61,2.9,6.03,0.8813,0.37,0.8,0.4201,0.116,0.1325,1.33,1.48,0.808,0.778,7.97,39296.0
CAN,Canada,加拿大,2014,24.15,11.73,3.13,5.8,0.8831,0.33,0.56,0.3925,0.141,0.1588,1.32,1.48,0.81,0.78,7.96,40452.0
CAN,Canada,加拿大,2015,24.12,11.67,3.92,4.75,0.8849,0.2,0.97,0.3853,0.111,0.1528,1.32,1.49,0.812,0.782,7.95,41608.0
CAN,Canada,加拿大,2016,24.09,12.1,3.01,5.42,0.8866,0.11,1.35,0.3896,0.24,0.1533,1.32,1.5,0.814,0.784,7.94,42764.0
CAN,Canada,加拿大,2017,24.06,10.78,3.05,5.98,0.8884,0.41,0.98,0.3932,0.079,0.158,1.31,1.5,0.816,0.786,7.94,43919.0
CAN,Canada,加拿大,2018,24.03,11.59,3.36,4.75,0.8902,0.39,0.79,0.372,0.19,0.1607,1.3,1.5,0.818,0.788,7.93,45075.0
CAN,Canada,加拿大,2019,24.0,10.31,2.97,6.01,0.892,0.54,0.89,0.3902,0.126,0.1545,1.3,1.51,0.82,0.79,7.92,46231.0
CAN,Canada,加拿大,2020,28.97,14.87,2.5,5.45,0.8759,-2.96,-1.29,0.3625,0.163,0.1661,1.3,1.52,0.822,0.792,7.91,45728.0
CAN,Canada,加拿大,2021,21.94,10.64,2.98,5.46,0.8956,0.28,1.94,0.3758,0.176,0.1447,1.29,1.52,0.824,0.794,7.9,48543.0
CAN,Canada,加拿大,2022,23.91,11.31,3.82,5.91,0.8974,0.7,0.93,0.3426,0.182,0.1458,1.28,1.52,0.826,0.796,7.9,49698.0
CAN,Canada,加拿大,2023,23.88,12.08,2.96,4.92,0.8991,0.58,0.72,0.3768,0.106,0.1625,1.28,1.53,0.828,0.798,7.89,50854.0
CHN,China,中国,2000,13.1,6.5,6.63,1.82,0.3204,2.91,6.49,0.925,1.197,0.1393,2.98,3.14,0.29,0.482,5.75,5325.0
CHN,China,中国,2001,13.2,5.95,6.85,2.89,0.3254,2.58,6.3,0.932,1.494,0.1325,2.96,3.14,0.3,0.494,5.77,5579.0
CHN,China,中国,2002,13.3,6.77,5.91,2.18,0.3303,2.72,6.59,0.9228,1.263,0.127,2.94,3.14,0.31,0.506,5.79,5832.0
CHN,China,中国,2003,13.4,6.39,6.49,1.84,0.3353,2.7,6.82,0.9236,1.546,0.1338,2.92,3.13,0.32,0.518,5.81,6086.0
CHN,China,中国,2004,13.5,6.54,6.1,1.85,0.3403,2.69,6.73,0.8994,1.397,0.1332,2.9,3.12,0.33,0.53,5.83,6339.0
CHN,China,中国,2005,13.6,6.54,6.11,2.15,0.3453,2.82,6.45,0.9193,1.275,0.1435,2.88,3.12,0.34,0.542,5.85,6593.0
CHN,China,中国,2006,13.7,6.03,5.61,2.15,0.3503,2.68,6.19,0.9244,1.332,0.1298,2.86,3.12,0.35,0.554,5.87,6847.0
CHN,China,中国,2007,13.8,6.59,5.85,2.1,0.3552,2.9,6.69,0.8584,1.427,0.1388,2.84,3.11,0.36,0.566,5.89,7100.0
CHN,China,中国,2008,13.9,6.89,6.09,2.3,0.3602,2.02,6.37,0.8989,1.309,0.1314,2.82,3.1,0.37,0.578,5.91,7354.0
CHN,China,中国,2009,14.0,7.04,6.6,2.35,0.3652,2.16,6.37,0.8733,1.247,0.135,2.8,3.1,0.38,0.59,5.93,7607.0
CHN,China,中国,2010,14.1,7.33,5.26,2.92,0.3702,1.96,6.29,0.8943,1.528,0.1448,2.78,3.1,0.39,0.602,5.95,7861.0
CHN,China,中国,2011,14.2,6.5,5.84,2.75,0.3752,2.05,6.67,0.8802,1.442,0.1321,2.76,3.09,0.4,0.614,5.97,8114.0
CHN,China,中国,2012,14.3,6.0,5.61,1.65,0.3801,1.75,6.37,0.866,1.477,0.1465,2.74,3.08,0.41,0.626,5.99,8368.0
CHN,China,中国,2013,14.4,6.99,6.34,2.12,0.3851,1.89,6.1,0.8775,1.472,0.1411,2.72,3.08,0.42,0.638,6.01,8622.0
CHN,China,中国,2014,14.5,7.34,6.12,2.66,0.3901,2.01,6.55,0.8757,1.335,0.1513,2.7,3.08,0.43,0.65,6.03,8875.0
CHN,China,中国,2015,14.6,7.57,6.25,1.57,0.3951,1.77,6.69,0.8342,1.425,0.1369,2.68,3.07,0.44,0.662,6.05,9129.0
CHN,China,中国,2016,14.7,7.01,6.32,1.81,0.4001,2.12,6.37,0.863,1.498,0.1496,2.66,3.06,0.45,0.674,6.07,9382.0
CHN,China,中国,2017,14.8,6.5,6.02,2.29,0.405,1.79,6.61,0.8771,1.546,0.1412,2.64,3.06,0.46,0.686,6.09,9636.0
CHN,China,中国,2018,14.9,6.92,5.96,1.59,0.41,1.99,6.48,0.8616,1.433,0.1613,2.62,3.06,0.47,0.698,6.11,9889.0
CHN,China,中国,2019,15.0,6.9,5.67,1.9,0.415,1.96,6.44,0.8605,1.484,0.1379,2.6,3.05,0.48,0.71,6.13,10143.0
CHN,China,中国,2020,20.1,10.02,6.18,2.15,0.4116,-1.14,4.35,0.8539,1.219,0.148,2.58,3.04,0.49,0.722,6.15,10033.0
CHN,China,中国,2021,13.2,6.88,6.35,1.82,0.425,2.49,7.39,0.8457,1.448,0.1504,2.56,3.04,0.5,0.734,6.17,10650.0
CHN,China,中国,2022,15.3,7.38,5.37,2.12,0.4299,2.24,6.5,0.7782,1.288,0.1648,2.54,3.03,0.51,0.746,6.19,10904.0
CHN,China,中国,2023,15.4,8.2,5.93,2.08,0.4349,2.23,6.52,0.8273,1.536,0.1459,2.52,3.03,0.52,0.758,6.21,11157.0
DEU,Germany,德国,2000,17.05,7.85,3.16,4.1,0.9074,0.58,0.68,0.4005,-0.093,0.1664,1.49,2.75,0.693,0.723,7.84,24272.0
DEU,Germany,德国,2001,17.1,8.73,2.39,3.95,0.9084,0.52,0.83,0.3777,-0.13,0.1646,1.48,2.74,0.696,0.726,7.84,25428.0
DEU,Germany,德国,2002,17.15,8.58,4.18,3.55,0.9093,0.51,0.87,0.3854,0.034,0.186,1.47,2.74,0.699,0.729,7.84,26583.0
DEU,Germany,德国,2003,17.2,8.72,2.79,4.41,0.9102,0.33,0.92,0.3983,-0.02,0.171,1.46,2.73,0.702,0.732,7.84,27739.0
DEU,Germany,德国,2004,17.25,7.96,3.14,5.52,0.9111,0.49,0.86,0.3743,0.065,0.1796,1.45,2.72,0.705,0.735,7.84,28895.0
DEU,Germany,德国,2005,17.3,8.96,2.55,4.89,0.912,0.5,0.87,0.3912,0.024,0.1837,1.44,2.71,0.708,0.738,7.84,30051.0
DEU,Germany,德国,2006,17.35,9.03,2.81,4.79,0.913,0.39,0.33,0.3559,0.074,0.1947,1.43,2.7,0.711,0.741,7.84,31207.0
DEU,Germany,德国,2007,17.4,9.37,3.12,4.32,0.9139,0.57,1.21,0.4161,0.326,0.1918,1.42,2.7,0.714,0.744,7.84,32362.0
DEU,Germany,德国,2008,17.45,8.89,3.01,4.88,0.9148,0.21,0.72,0.3539,0.026,0.1701,1.41,2.69,0.717,0.747,7.84,33518.0
DEU,Germany,德国,2009,17.5,8.71,2.91,5.12,0.9158,0.44,0.78,0.3757,0.131,0.1877,1.4,2.68,0.72,0.75,7.84,34674.0
DEU,Germany,德国,2010,17.55,8.47,2.68,5.17,0.9167,0.62,0.71,0.3514,0.042,0.1998,1.39,2.67,0.723,0.753,7.84,35830.0
DEU,Germany,德国,2011,17.6,8.69,2.11,6.11,0.9176,0.28,0.78,0.3673,0.25,0.1891,1.38,2.66,0.726,0.756,7.84,36986.0
DEU,Germany,德国,2012,17.65,7.96,2.9,4.35,0.9185,0.47,0.52,0.362,0.069,0.201,1.37,2.66,0.729,0.759,7.84,38141.0
DEU,Germany,德国,2013,17.7,8.97,2.3,4.64,0.9194,0.35,0.78,0.3789,0.093,0.1803,1.36,2.65,0.732,0.762,7.84,39297.0
DEU,Germany,德国,2014,17.75,9.22,2.38,3.93,0.9204,0.2,0.84,0.4045,0.259,0.1954,1.35,2.64,0.735,0.765,7.84,40453.0
DEU,Germany,德国,2015,17.8,9.32,1.88,4.58,0.9213,0.25,0.92,0.3636,0.153,0.188,1.34,2.63,0.738,0.768,7.84,41609.0
DEU,Germany,德国,2016,17.85,8.77,2.97,3.85,0.9222,0.46,0.69,0.3527,0.259,0.1956,1.33,2.62,0.741,0.771,7.84,42765.0
DEU,Germany,德国,2017,17.9,9.08,3.29,4.66,0.9232,0.53,0.49,0.3376,0.289,0.1999,1.32,2.62,0.744,0.774,7.84,43920.0
DEU,Germany,德国,2018,17.95,8.47,3.23,4.15,0.9241,0.62,1.01,0.3294,0.058,0.1764,1.31,2.61,0.747,0.777,7.84,45076.0
DEU,Germany,德国,2019,18.0,10.21,3.48,3.79,0.925,0.43,0.62,0.3657,0.374,0.1985,1.3,2.6,0.75,0.78,7.84,46232.0
DEU,Germany,德国,2020,23.05,11.32,3.41,5.05,0.9074,-2.57,-1.18,0.3342,0.283,0.205,1.29,2.59,0.753,0.783,7.84,45729.0
DEU,Germany,德国,2021,16.1,8.86,3.2,3.92,0.9268,0.18,1.58,0.3751,0.395,0.2175,1.28,2.58,0.756,0.786,7.84,48544.0
DEU,Germany,德国,2022,18.15,9.15,3.25,4.12,0.9278,0.71,0.72,0.3723,0.287,0.2097,1.27,2.58,0.759,0.789,7.84,49699.0
DEU,Germany,德国,2023,18.2,7.94,2.56,4.52,0.9287,0.52,0.57,0.3333,0.245,0.2076,1.26,2.57,0.762,0.792,7.84,50855.0
EUU,European Union,欧盟,2000,19.62,9.08,3.42,5.18,0.8535,0.29,0.36,0.4502,0.168,0.1458,1.5,2.64,0.663,0.693,7.73,18315.0
EUU,European Union,欧盟,2001,19.64,9.47,3.2,4.46,0.8543,0.13,0.56,0.484,0.041,0.1562,1.49,2.64,0.666,0.696,7.73,19187.0
EUU,European Union,欧盟,2002,19.66,9.16,3.22,5.05,0.8552,0.5,0.64,0.4612,-0.083,0.1405,1.49,2.64,0.669,0.699,7.73,20059.0
EUU,European Union,欧盟,2003,19.68,10.01,2.87,4.41,0.8561,0.24,0.69,0.4488,-0.016,0.1552,1.48,2.63,0.672,0.702,7.73,20932.0
EUU,European Union,欧盟,2004,19.7,9.29,3.35,4.44,0.857,0.21,0.75,0.4571,0.046,0.1421,1.47,2.62,0.675,0.705,7.74,21804.0
EUU,European Union,欧盟,2005,19.72,9.8,3.17,4.98,0.8578,0.07,0.72,0.4384,0.012,0.1338,1.46,2.62,0.678,0.708,7.74,22676.0
EUU,European Union,欧盟,2006,19.74,9.92,3.01,4.56,0.8587,0.28,0.76,0.4471,0.092,0.1369,1.45,2.62,0.681,0.711,7.74,23548.0
EUU,European Union,欧盟,2007,19.76,9.86,4.16,4.92,0.8596,0.34,1.1,0.4607,0.034,0.1637,1.45,2.61,0.684,0.714,7.74,24420.0
EUU,European Union,欧盟,2008,19.78,10.85,3.64,3.81,0.8604,0.07,0.55,0.443,0.127,0.1644,1.44,2.6,0.687,0.717,7.74,25292.0
EUU,European Union,欧盟,2009,19.8,10.01,3.69,5.08,0.8613,0.1,0.8,0.4215,0.053,0.1532,1.43,2.6,0.69,0.72,7.74,26164.0
EUU,European Union,欧盟,2010,19.82,10.27,2.45,4.85,0.8622,0.11,0.78,0.4617,0.071,0.1456,1.42,2.6,0.693,0.723,7.74,27037.0
EUU,European Union,欧盟,2011,19.84,9.83,3.29,4.28,0.863,0.17,0.68,0.4408,0.157,0.157,1.41,2.59,0.696,0.726,7.74,27909.0
EUU,European Union,欧盟,2012,19.86,11.06,3.75,4.42,0.8639,0.31,0.82,0.4411,0.235,0.1561,1.41,2.58,0.699,0.729,7.74,28781.0
EUU,European Union,欧盟,2013,19.88,10.37,3.33,4.36,0.8648,0.37,0.52,0.464,0.158,0.1826,1.4,2.58,0.702,0.732,7.74,29653.0
EUU,European Union,欧盟,2014,19.9,9.27,3.43,4.72,0.8656,0.29,0.92,0.4338,0.327,0.1756,1.39,2.58,0.705,0.735,7.74,30525.0
EUU,European Union,欧盟,2015,19.92,9.45,4.04,5.79,0.8665,0.29,0.32,0.4258,0.2,0.1739,1.38,2.57,0.708,0.738,7.75,31397.0
EUU,European Union,欧盟,2016,19.94,9.85,3.48,4.02,0.8674,0.3,0.76,0.3877,0.291,0.1743,1.37,2.56,0.711,0.741,7.75,32270.0
EUU,European Union,欧盟,2017,19.96,10.36,2.87,5.18,0.8683,0.39,0.49,0.4277,0.224,0.1665,1.37,2.56,0.714,0.744,7.75,33142.0
EUU,European Union,欧盟,2018,19.98,10.25,3.09,5.29,0.8691,0.16,0.83,0.4538,0.34,0.1646,1.36,2.55,0.717,0.747,7.75,34014.0
EUU,European Union,欧盟,2019,20.0,10.52,3.17,5.33,0.87,-0.01,0.96,0.3788,0.163,0.1791,1.35,2.55,0.72,0.75,7.75,34886.0
